SCHOOL,DISTRICT,CODE,NAME,ENG,NEP,MATH,SCI,SOC,HPE,TOTAL,SAP,DIST,FIRST,SEC,THIRD,PASS,FAIL,PASS.PERCENT
4283,DANG,58008,BIRENDRA MA VI HEKULI,24,42,23,26,33,46,45,45,0,0,8,1,9,36,20
4423,JAJARKOT,64004,BIRENDRA MA VI JUNGA THAPACHAUR,22,38,11,9,28,27,92,92,0,0,1,0,1,91,1
1115,DOLAKHA,17037,BIRENDRA MA VI KATAKUTI,28,5,37,31,41,40,35,35,0,3,14,1,18,17,51
1504,NUWAKOT,25013,BIRENDRA MA VI KUMARI,28,43,31,3,39,38,95,95,0,8,30,0,38,57,40
3760,ARGHAKHANCH,47028,BIRENDRA MA VI MARENG,4,46,36,37,48,50,50,50,0,12,17,1,30,20,60
4194,ROLPA,55006,BIRENDRA MA VI NAULI JINAWANG,2,34,12,8,22,27,14,14,0,0,0,0,0,14,000
4129,PARBAT,53039,BIRENDRA MA VI PAKUWA,16,36,22,19,32,35,40,40,0,0,4,1,5,35,13
30,TAPLEJUNG,1029,BIRENDRA MA VI PHUNGLING-1 DEVLING,24,38,2,24,38,31,47,47,0,1,8,1,10,37,21
4905,BAITADI,75003,BIRENDRA MA VI SHAHILEK,23,41,27,28,37,35,151,151,0,4,41,10,55,96,36
1765,BHAKTAPUR,28040,BIRENDRA SAINIK AWASIYA MA VI SALLAGHARI,68,74,92,5,70,58,86,86,56,30,0,0,86,0,100
521,MORANG,9025,BIRENDRA SARBAJANIK MA VI AMARDAHA,22,43,27,27,45,41,71,71,0,3,16,3,22,49,31
463,BHOJPUR,8013,BIRENDRA UCHCHA MA VI KULUNG,23,50,22,31,47,32,60,60,0,3,11,2,16,44,27
4793,KAILALI,73018,BIRENDRA VIDYA MANDIR MA VI TIKAPUR,26,44,37,24,38,36,164,159,0,10,50,10,70,88,44
782,SOLUKHUMBU,11014,BIRENDRODAYA MA VI BHUMESTHAN MUKLI,19,34,17,24,37,41,25,25,0,1,4,0,5,20,20
3199,KASKI,41103,BIRETHATI MA VI DANGSING,16,40,23,25,47,43,41,41,0,0,5,0,5,36,12
2957,PARSA,37059,BIRGANJ RATRI MA VI,29,36,39,20,3,38,9,9,0,0,4,0,4,5,44
4940,BAITADI,75038,BISHALPUR MA VI ROKATA,16,41,7,21,34,32,16,16,0,0,0,0,0,16,000
2422,LALITPUR,32033,BISHANKHU NARAYAN MA VI GODAMCHOUR,36,47,52,29,39,45,50,50,0,8,32,4,44,6,88
2810,RAUTAHAT,35027,BISHESHWAR PRASAD KOIRALA ADARSHA MA VI JO,18,33,17,16,23,3,41,40,0,0,2,1,3,37,8
2106,KATHMANDU,29294,BISHNU DEVI MA VI TINTHANA,32,40,42,42,39,37,18,18,0,2,9,1,12,6,67
1946,KATHMANDU,29123,BISHNU DEVI SHIKSHA SADAN MA VI SATUNGAL,46,68,64,4,54,60,29,29,4,20,5,0,29,0,100
39,PANCHTHAR,2003,BISHNU MA VI CHYANGTHAPU,22,39,40,32,46,38,69,68,0,0,22,11,33,35,49
696,SUNSARI,10033,BISHNU MA VI SONAPUR,16,39,19,21,40,31,43,43,0,0,2,0,2,41,5
758,SUNSARI,10097,BISHNU MEMORIAL BOARDING SCHOOL DHARAN-9,64,67,76,57,71,57,19,19,7,12,0,0,19,0,100
3170,KASKI,41073,BISHNU PADUKA MA VI HEMJA,26,59,39,33,53,5,42,42,0,11,9,0,20,22,48
147,ILAM,3061,BISHNU SECONDARY SCHOOL PHUYETAPPA ILAM,23,47,16,3,42,4,23,23,0,1,3,0,4,19,17
2038,KATHMANDU,29222,BISHNUMATI AWASIYA MA VI GONGABU-4,62,62,86,50,49,47,28,28,2,26,0,0,28,0,100
1989,KATHMANDU,29168,BISHWA GORKHA ACADEMY BANESWOR,34,41,31,19,32,41,31,31,0,0,6,0,6,25,19
4107,PARBAT,53017,BISHWA JYOTI MA VI PAKUWA SILMI,3,52,28,32,43,44,26,26,0,4,7,0,11,15,42
